Fig. Number,Product Type,VIR Item Code,Product Category,Product Active,Manufacturer,Vendor Name,Sales End Date,Sales Start Date,Support Expiry Date,Support Start Date,Website,Serial No,Product Sheet,Size - mm,Modified Time,GL Account,Created By,Created Time,Origin,Product ID,Source,Last Modified By,Record Currency,Record Conversion Rate,Test field,Barcode,HSN Code,test Pratim field,Unit Price,Commission Rate,Purchase Cost,Billing Type,Usage Unit,Qty/Unit,Qty. in Stock,Reorder Level,Handler,Reserved Stock,Defective Stock,Reorder Qty,Available Stock,Committed Stock,Incoming Stock,Product Image,Description,VAT,VAT-UAE,VAT-Exports,Service,Service-Exports,Service-UAE,Sales,Shipping & Handling Tax,Shipping & Handling Tax-UAE,Shipping & Handling Tax-Exports,VAT On Shipping & Documents,VAT On Shipping & Documents-UAE,VAT On Shipping & Documents-Exports
STEM EXT- 33FF,Solo,KPR33X015.2810,ACCESSORIES,Yes,,,,,,,,,,15-20,09-12-25 8:05,,y.ali@virme.ae,07-08-23 8:50,ITALY,PRO1547,CRM,y.ali@virme.ae,AED,1,,,,,0,,5.29,One time,Pieces,,44,0,y.ali@virme.ae,,0,0,44,0,0,,ALUMINIUM STEM EXTENSION AND BRASS ROD,,,,,,,,,,,,,
STEM EXT- 33FF,Solo,KPR33X025.2810,ACCESSORIES,Yes,,,,,,,,,,25-32,09-12-25 8:05,,y.ali@virme.ae,07-08-23 8:51,ITALY,PRO1548,CRM,y.ali@virme.ae,AED,1,,,,,0,,6.39,One time,Pieces,,2,0,y.ali@virme.ae,,0,0,-413,415,450,undefined,ALUMINIUM STEM EXTENSION AND BRASS ROD,,,,,,,,,,,,,
STEM EXT- 33FF,Solo,KPR33X040.2810,ACCESSORIES,Yes,,,,,,,,,,40-50,09-12-25 8:05,,y.ali@virme.ae,07-08-23 8:52,ITALY,PRO1549,CRM,y.ali@virme.ae,AED,1,,,,,0,,8.75,One time,Pieces,,50,0,y.ali@virme.ae,,0,0,14,36,0,undefined,ALUMINIUM STEM EXTENSION AND BRASS ROD,,,,,,,,,,,,,
4620L,Solo,F4620L080.927,BUTTERFLY VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,80,08-12-25 16:01,,a.jacob@virme.ae,29-10-17 7:24,CHINA,PRO592,IMPORT,y.ali@virme.ae,AED,1,,,,1234,314.27,0,629.48,,Pieces,,0,0,y.ali@virme.ae,0,0,0,-10,10,52,,"DUCTILE IRON BUTTERFLY VALVE, LUG TYPE, DUCTILE IRON NICKEL PLATED DISC, SS STEM, EPDM LINED, LEVER OPERATED, PN25",,,,,,,,,,,,,
835,Solo,F8350B025.2226,CHECK VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,25,08-12-25 15:13,,a.jacob@virme.ae,29-10-17 7:23,ITALY,PRO305,IMPORT,d.estay@virme.ae,AED,1,,,,1234,118.06,0,49.32,,Pieces,,6,0,y.ali@virme.ae,0,0,0,6,0,90,,"BRONZE SWING CHECK VALVE, THREADED TO BS21, PN16",,,,,,,,,,,,,
FV-DN50,Solo,F93FCV050.3361,BALL VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,50,08-12-25 14:03,,y.ali@virme.ae,24-02-23 14:52,ITALY,PRO1507,CRM,d.estay@virme.ae,USD,0.27229,,,,1234,0,0,62.73,One time,Pieces,,0,0,y.ali@virme.ae,0,0,0,-3,3,6,undefined,BRASS FLOAT VALVE WITH HDPE FLOAT,,,,,,,,,,,,,
100LK,Solo,F100LB020.3001,GATE VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,20,08-12-25 13:43,,y.ali@virme.ae,04-07-21 10:23,ITALY,PRO1434,CRM,y.ali@virme.ae,AED,1,,,,1234,81.16,0,122.81,,Pieces,,25,0,y.ali@virme.ae,0,0,0,25,0,450,,"BRONZE LOCK SHIELD GATE VALVES, NON RISING STEM, THREADED TO BS21, PN20",,,,,,,,,,,,,
835,Solo,F8350B032.2226,CHECK VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,32,08-12-25 13:25,,a.jacob@virme.ae,29-10-17 7:23,ITALY,PRO306,IMPORT,y.ali@virme.ae,AED,1,,,,1234,154.89,0,66.15,,Pieces,,17,0,y.ali@virme.ae,0,0,0,-156,173,0,,"BRONZE SWING CHECK VALVE, THREADED TO BS21, PN16",,,,,,,,,,,,,
KGTT,Solo,KGT800050.1163,FLEXIBLE CONNECTION,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,50,08-12-25 10:50,,a.jacob@virme.ae,29-10-17 7:23,CHINA,PRO380,IMPORT,d.estay@virme.ae,AED,1,,,,1234,179.52,0,54.68,,Pieces,,0,0,y.ali@virme.ae,0,0,0,-5,5,5,,"FLEXIBLE BELLOW, REINFORCED EPDM RUBBER, UNION ENDS, PN16",,,,,,,,,,,,,
895H,Solo,F8951I065.2932,STRAINER,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,65,08-12-25 9:02,,y.ali@virme.ae,10-12-20 17:59,CHINA,PRO1308,CRM,d.estay@virme.ae,AED,1,,,,1234,687.36,0,374.92,,Pieces,,1,0,y.ali@virme.ae,0,0,0,1,0,0,,"DUCTILE IRON STRAINER, SS SCREEN, 1.5MM PERFORATION, FLANGED TO EN1092, PN25",,,,,,,,,,,,,
33FF,Solo,F33FF0015.2572,BALL VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,15,03-12-25 8:16,,a.jacob@virme.ae,29-10-17 7:24,ITALY,PRO426,IMPORT,y.ali@virme.ae,AED,1,,,,1234,21.83,0,34.96,,Pieces,,0,0,y.ali@virme.ae,0,0,0,-6364,6364,4700,,"NICKEL PLATED BRASS BALL VALVE, FULL BORE, THREADED TO BS21, PN32",,,,,,,,,,,,,
AL-LEVER - BFV,Solo,KXM4PCC00.1525,ACCESSORIES,Yes,,,,,,,,,,125-150,15-09-23 13:15,,y.ali@virme.ae,15-09-23 13:15,CHINA,PRO1554,CRM,y.ali@virme.ae,AED,1,,,,,0,,0,One time,Pieces,,0,0,y.ali@virme.ae,,0,0,0,0,0,undefined,ALUMINIUM LEVER FOR BUTTERFLY VALVES,,,,,,,,,,,,,
